open,high,low,close,date
420.035,420.045,419.945,419.975,2021-06-01 14:30:00
419.975,420.035,419.975,420.035,2021-06-01 14:31:00
420.035,420.075,420.025,420.055,2021-06-01 14:32:00
420.055,420.085,420.035,420.035,2021-06-01 14:33:00
420.035,420.105,420.03,420.055,2021-06-01 14:34:00
420.055,420.145,420.055,420.145,2021-06-01 14:35:00
420.145,420.155,420.085,420.115,2021-06-01 14:36:00
420.115,420.135,420.095,420.135,2021-06-01 14:37:00
420.135,420.175,420.125,420.175,2021-06-01 14:38:00
420.175,420.275,420.165,420.215,2021-06-01 14:39:00
420.215,420.225,420.145,420.155,2021-06-01 14:40:00
420.155,420.255,420.155,420.185,2021-06-01 14:41:00
420.185,420.325,420.155,420.315,2021-06-01 14:42:00
420.315,420.355,420.23,420.345,2021-06-01 14:43:00
420.345,420.375,420.225,420.255,2021-06-01 14:44:00
420.255,420.275,420.195,420.255,2021-06-01 14:45:00
420.255,420.315,420.245,420.245,2021-06-01 14:46:00
420.245,420.255,420.195,420.235,2021-06-01 14:47:00
420.235,420.265,420.215,420.235,2021-06-01 14:48:00
420.235,420.295,420.225,420.265,2021-06-01 14:49:00
420.265,420.315,420.265,420.265,2021-06-01 14:50:00
420.265,420.265,420.175,420.255,2021-06-01 14:51:00
420.255,420.275,420.205,420.235,2021-06-01 14:52:00
420.235,420.265,420.225,420.245,2021-06-01 14:53:00
420.245,420.255,420.195,420.215,2021-06-01 14:54:00
420.215,420.285,420.205,420.285,2021-06-01 14:55:00
420.285,420.315,420.265,420.295,2021-06-01 14:56:00
420.295,420.295,420.235,420.275,2021-06-01 14:57:00
420.275,420.305,420.225,420.305,2021-06-01 14:58:00
420.305,420.345,420.295,420.325,2021-06-01 14:59:00
420.325,420.365,420.245,420.315,2021-06-01 15:00:00
420.315,420.325,420.265,420.265,2021-06-01 15:01:00
420.265,420.265,420.215,420.265,2021-06-01 15:02:00
420.265,420.285,420.215,420.255,2021-06-01 15:03:00
420.255,420.295,420.255,420.285,2021-06-01 15:04:00
420.285,420.295,420.205,420.215,2021-06-01 15:05:00
420.215,420.225,420.025,420.065,2021-06-01 15:06:00
420.065,420.135,420.055,420.105,2021-06-01 15:07:00
420.105,420.175,420.085,420.115,2021-06-01 15:08:00
420.115,420.175,420.075,420.115,2021-06-01 15:09:00
420.115,420.145,419.995,419.995,2021-06-01 15:10:00
419.995,420.075,419.965,419.985,2021-06-01 15:11:00
419.985,420.055,419.965,420.055,2021-06-01 15:12:00
420.055,420.115,420.045,420.095,2021-06-01 15:13:00
420.095,420.135,419.995,420.015,2021-06-01 15:14:00
420.015,420.075,419.985,420.015,2021-06-01 15:15:00
420.015,420.025,419.955,419.965,2021-06-01 15:16:00
419.965,420.015,419.945,420.005,2021-06-01 15:17:00
420.005,420.025,419.965,419.985,2021-06-01 15:18:00
419.985,420.005,419.975,420.005,2021-06-01 15:19:00
420.005,420.125,419.975,420.105,2021-06-01 15:20:00
420.105,420.125,420.075,420.095,2021-06-01 15:21:00
420.095,420.195,420.095,420.185,2021-06-01 15:22:00
420.185,420.205,420.135,420.165,2021-06-01 15:23:00
420.165,420.185,420.13,420.145,2021-06-01 15:24:00
420.145,420.155,420.025,420.055,2021-06-01 15:25:00
420.055,420.065,419.985,419.995,2021-06-01 15:26:00
419.995,420.015,419.945,420.015,2021-06-01 15:27:00
420.015,420.025,419.935,419.945,2021-06-01 15:28:00
419.945,419.965,419.855,419.865,2021-06-01 15:29:00
419.865,419.875,419.715,419.715,2021-06-01 15:30:00
419.715,419.815,419.705,419.805,2021-06-01 15:31:00
419.805,419.815,419.545,419.555,2021-06-01 15:32:00
419.555,419.615,419.525,419.595,2021-06-01 15:33:00
419.595,419.645,419.565,419.625,2021-06-01 15:34:00
419.625,419.665,419.575,419.595,2021-06-01 15:35:00
419.595,419.655,419.545,419.555,2021-06-01 15:36:00
419.555,419.575,419.475,419.525,2021-06-01 15:37:00
419.525,419.585,419.485,419.535,2021-06-01 15:38:00
419.535,419.585,419.495,419.565,2021-06-01 15:39:00
419.565,419.565,419.475,419.505,2021-06-01 15:40:00
419.505,419.565,419.465,419.515,2021-06-01 15:41:00
419.515,419.535,419.445,419.505,2021-06-01 15:42:00
419.505,419.635,419.495,419.595,2021-06-01 15:43:00
419.595,419.605,419.495,419.555,2021-06-01 15:44:00
419.555,419.735,419.545,419.725,2021-06-01 15:45:00
419.725,419.765,419.665,419.675,2021-06-01 15:46:00
419.675,419.825,419.665,419.815,2021-06-01 15:47:00
419.815,419.885,419.755,419.875,2021-06-01 15:48:00
419.875,419.985,419.835,419.985,2021-06-01 15:49:00
419.985,419.995,419.605,419.635,2021-06-01 15:50:00
419.635,419.765,419.575,419.745,2021-06-01 15:51:00
419.745,419.795,419.675,419.745,2021-06-01 15:52:00
419.745,419.855,419.745,419.815,2021-06-01 15:53:00
419.815,419.915,419.815,419.875,2021-06-01 15:54:00
419.875,419.895,419.755,419.775,2021-06-01 15:55:00
419.775,419.775,419.665,419.665,2021-06-01 15:56:00
419.665,419.695,419.555,419.605,2021-06-01 15:57:00
419.605,419.645,419.465,419.485,2021-06-01 15:58:00
419.485,419.685,419.475,419.635,2021-06-01 15:59:00
420.365,420.375,420.095,420.135,2021-06-02 09:30:00
420.135,420.175,419.935,419.955,2021-06-02 09:31:00
419.955,419.985,419.855,419.955,2021-06-02 09:32:00
419.955,420.045,419.855,419.875,2021-06-02 09:33:00
419.875,419.915,419.745,419.825,2021-06-02 09:34:00
419.825,419.875,419.725,419.805,2021-06-02 09:35:00
419.805,419.875,419.765,419.825,2021-06-02 09:36:00
419.825,419.865,419.645,419.675,2021-06-02 09:37:00
419.675,419.695,419.545,419.575,2021-06-02 09:38:00
419.575,419.655,419.565,419.595,2021-06-02 09:39:00
419.595,419.845,419.555,419.825,2021-06-02 09:40:00
419.825,419.945,419.825,419.885,2021-06-02 09:41:00
419.885,419.995,419.855,419.93,2021-06-02 09:42:00
419.93,419.995,419.865,419.875,2021-06-02 09:43:00
419.875,419.955,419.825,419.955,2021-06-02 09:44:00
419.955,420.225,419.945,420.22,2021-06-02 09:45:00
420.22,420.305,420.22,420.255,2021-06-02 09:46:00
420.255,420.555,420.255,420.485,2021-06-02 09:47:00
420.485,420.535,420.405,420.405,2021-06-02 09:48:00
420.405,420.555,420.405,420.555,2021-06-02 09:49:00
420.555,420.555,420.455,420.485,2021-06-02 09:50:00
420.485,420.575,420.445,420.575,2021-06-02 09:51:00
420.575,420.595,420.475,420.475,2021-06-02 09:52:00
